internal_timestamp,gps_timestamp,lon,lat
01/01/2000 07:36:24.72,30/06/2024 01:50:13,31.180085,-25.572621
01/01/2000 07:41:31.63,30/06/2024 01:55:07,31.180093,-25.572826
01/01/2000 07:46:26.61,30/06/2024 02:00:12,31.180041,-25.572502
01/01/2000 07:51:30.68,30/06/2024 02:05:14,31.180046,-25.572545
01/01/2000 07:56:32.66,30/06/2024 02:10:20,31.180132,-25.572613
01/01/2000 08:01:38.67,30/06/2024 02:15:37,31.180147,-25.572655
01/01/2000 08:06:57.20,30/06/2024 02:20:39,31.180093,-25.572618
01/01/2000 08:11:58.67,30/06/2024 02:25:39,31.18012,-25.572639
01/01/2000 08:16:58.69,30/06/2024 02:30:39,31.180134,-25.572567
01/01/2000 08:21:58.68,30/06/2024 02:35:39,31.18005,-25.572568
01/01/2000 08:26:58.70,30/06/2024 02:40:39,31.180122,-25.572797
01/01/2000 08:31:58.71,30/06/2024 02:45:21,31.180045,-25.572548
01/01/2000 08:36:39.71,30/06/2024 02:50:17,31.180071,-25.572581
01/01/2000 08:41:35.71,30/06/2024 02:55:10,31.179919,-25.572618
01/01/2000 08:46:30.45,30/06/2024 03:00:16,31.180058,-25.572635
01/01/2000 08:51:34.73,30/06/2024 03:05:15,31.180098,-25.572605
01/01/2000 08:56:33.75,30/06/2024 03:10:27,31.180099,-25.57263
01/01/2000 09:01:45.71,30/06/2024 03:15:32,31.180123,-25.57257
01/01/2000 09:06:50.73,30/06/2024 03:20:05,31.180309,-25.572709
01/01/2000 09:11:24.60,30/06/2024 03:25:08,31.180252,-25.572697
01/01/2000 09:16:26.77,30/06/2024 03:30:07,31.184836,-25.574033
01/01/2000 09:21:25.39,30/06/2024 03:35:12,31.180031,-25.572558
01/01/2000 09:26:30.80,30/06/2024 03:40:42,31.18017,-25.572494
01/01/2000 09:32:02.35,30/06/2024 03:45:40,31.180285,-25.572531
01/01/2000 09:37:00.29,30/06/2024 03:50:14,31.180136,-25.572587
01/01/2000 09:41:32.81,30/06/2024 03:55:12,31.180275,-25.572624
01/01/2000 09:46:30.81,30/06/2024 04:00:37,31.180643,-25.572674
01/01/2000 09:51:56.35,30/06/2024 04:05:09,31.180183,-25.572599
01/01/2000 09:56:29.41,30/06/2024 04:10:11,31.179873,-25.572593
01/01/2000 10:01:29.80,30/06/2024 04:15:25,31.179831,-25.572756
01/01/2000 10:06:43.78,30/06/2024 04:20:33,31.180015,-25.572623
01/01/2000 10:11:53.65,30/06/2024 04:25:23,31.180224,-25.572882
01/01/2000 10:16:41.80,30/06/2024 04:30:17,31.179986,-25.572607
01/01/2000 10:21:35.81,30/06/2024 04:35:28,31.180185,-25.572871
01/01/2000 10:26:47.68,30/06/2024 04:40:14,31.180104,-25.572857
01/01/2000 10:31:32.83,30/06/2024 04:45:40,31.180106,-25.572761
01/01/2000 10:36:59.83,30/06/2024 04:50:39,31.180302,-25.573084
01/01/2000 10:41:58.69,30/06/2024 04:55:23,31.180114,-25.572817
01/01/2000 10:46:41.77,30/06/2024 05:00:33,31.18017,-25.572832
01/01/2000 10:51:51.85,30/06/2024 05:05:25,31.180157,-25.572698
01/01/2000 10:56:43.83,30/06/2024 05:10:29,31.180204,-25.572957
01/01/2000 11:01:47.85,30/06/2024 05:15:16,31.180172,-25.572708
01/01/2000 11:06:35.46,30/06/2024 05:20:15,31.17999,-25.572763
01/01/2000 11:11:33.86,30/06/2024 05:25:32,31.180127,-25.572693
01/01/2000 11:16:50.86,30/06/2024 05:30:12,31.180196,-25.572629
01/01/2000 11:21:30.87,30/06/2024 05:35:39,31.180005,-25.572513
01/01/2000 11:26:58.90,30/06/2024 05:40:32,31.180004,-25.57261
01/01/2000 11:31:51.50,30/06/2024 05:45:15,31.180071,-25.572619
01/01/2000 11:36:33.90,30/06/2024 05:50:13,31.180167,-25.572651
01/01/2000 11:41:31.87,30/06/2024 05:55:18,31.180021,-25.572462
01/01/2000 11:46:36.89,30/06/2024 06:00:14,31.180138,-25.57265
01/01/2000 11:51:33.28,30/06/2024 06:05:30,31.180036,-25.572569
01/01/2000 11:56:49.52,30/06/2024 06:10:12,31.180075,-25.572653
01/01/2000 12:01:30.91,30/06/2024 06:15:44,31.180023,-25.572712
01/01/2000 12:07:04.54,30/06/2024 06:20:26,31.180131,-25.572565
01/01/2000 12:11:44.93,30/06/2024 06:25:34,31.180076,-25.572588
01/01/2000 12:16:52.95,30/06/2024 06:30:34,31.180092,-25.572681
01/01/2000 12:21:53.95,30/06/2024 06:35:33,31.180214,-25.572583
01/01/2000 12:26:51.96,30/06/2024 06:40:39,31.180119,-25.572592
01/01/2000 12:31:58.94,30/06/2024 06:45:41,31.180095,-25.572557
01/01/2000 12:37:01.89,30/06/2024 06:50:39,31.180087,-25.572471
01/01/2000 12:41:58.96,30/06/2024 06:55:41,31.180111,-25.572564
01/01/2000 12:47:00.97,30/06/2024 07:00:40,31.179932,-25.572571
01/01/2000 12:51:59.96,30/06/2024 07:05:41,31.180138,-25.572581
01/01/2000 12:57:00.99,30/06/2024 07:10:39,31.180199,-25.572721
01/01/2000 13:01:59.63,30/06/2024 07:15:39,31.18013,-25.572594
01/01/2000 13:06:59.92,30/06/2024 07:20:41,31.180258,-25.5727
01/01/2000 13:12:00.94,30/06/2024 07:25:39,31.18017,-25.572668
01/01/2000 13:16:58.99,30/06/2024 07:30:42,31.179876,-25.572581
01/01/2000 13:22:02.63,30/06/2024 07:35:39,31.179957,-25.572764
01/01/2000 13:26:59.94,30/06/2024 07:40:41,31.180197,-25.572843
01/01/2000 13:32:01.02,30/06/2024 07:45:33,31.180254,-25.572764
01/01/2000 13:36:53.04,30/06/2024 07:50:44,31.180153,-25.572599
01/01/2000 13:42:04.04,30/06/2024 07:55:40,31.179792,-25.572556
01/01/2000 13:47:00.62,30/06/2024 08:00:39,31.17956,-25.572425
01/01/2000 13:51:59.04,30/06/2024 08:05:40,31.180217,-25.572616
01/01/2000 13:57:00.02,30/06/2024 08:10:24,31.180483,-25.572736
01/01/2000 14:01:43.69,30/06/2024 08:15:41,31.180284,-25.572624
01/01/2000 14:07:01.05,30/06/2024 08:20:42,31.180402,-25.572575
01/01/2000 14:16:41.66,30/06/2024 08:27:39,31.18018,-25.5726
01/01/2000 14:18:59.07,30/06/2024 08:30:26,31.180105,-25.572592
01/01/2000 14:21:46.06,30/06/2024 08:35:07,31.180032,-25.572543
01/01/2000 14:26:28.05,30/06/2024 08:40:14,31.180179,-25.572681
01/01/2000 14:31:34.15,30/06/2024 08:45:18,31.180205,-25.572645
01/01/2000 14:36:38.08,30/06/2024 08:50:23,31.180288,-25.572706
01/01/2000 14:41:43.81,30/06/2024 08:55:22,31.18023,-25.572677
01/01/2000 14:46:42.11,30/06/2024 09:00:15,31.180413,-25.572781
01/01/2000 14:51:35.11,30/06/2024 09:05:26,31.18029,-25.572699
01/01/2000 14:56:46.14,30/06/2024 09:10:39,31.180145,-25.572616
01/01/2000 15:01:59.14,30/06/2024 09:15:24,31.180264,-25.572646
01/01/2000 15:06:44.11,30/06/2024 09:21:19,31.180441,-25.57267
01/01/2000 15:24:39.19,30/06/2024 09:35:37,31.18016,-25.572586
01/01/2000 15:26:57.56,30/06/2024 09:40:14,31.180255,-25.572598
01/01/2000 15:31:34.17,30/06/2024 09:45:39,31.180086,-25.572603
01/01/2000 15:36:59.58,30/06/2024 09:50:17,31.180284,-25.572601
01/01/2000 15:41:37.16,30/06/2024 09:55:14,31.180015,-25.572575
01/01/2000 15:46:34.18,30/06/2024 10:00:39,31.1802,-25.572588
01/01/2000 15:51:59.18,30/06/2024 10:05:09,31.180236,-25.572591
01/01/2000 15:56:29.84,30/06/2024 10:10:16,31.180123,-25.57258
01/01/2000 16:01:36.21,30/06/2024 10:15:07,31.180175,-25.572609
01/01/2000 16:06:27.71,30/06/2024 10:20:16,31.180123,-25.572609
01/01/2000 16:11:36.21,30/06/2024 10:25:11,31.180079,-25.572583
01/01/2000 16:16:31.23,30/06/2024 10:30:14,31.180024,-25.572611
01/01/2000 16:21:34.29,30/06/2024 10:35:38,31.180123,-25.572606
01/01/2000 16:26:58.85,30/06/2024 10:40:14,31.180165,-25.572654
01/01/2000 16:31:34.24,30/06/2024 10:45:05,31.180056,-25.572413
01/01/2000 16:36:25.24,30/06/2024 10:50:30,31.180057,-25.57253
01/01/2000 16:41:50.78,30/06/2024 10:55:10,31.180053,-25.572593
01/01/2000 16:46:30.93,30/06/2024 11:00:07,31.180165,-25.57266
01/01/2000 16:51:28.59,30/06/2024 11:05:11,31.180167,-25.572668
01/01/2000 16:56:31.26,30/06/2024 11:10:15,31.180222,-25.572671
01/01/2000 17:01:35.36,30/06/2024 11:15:07,31.180053,-25.572662
01/01/2000 17:06:28.05,30/06/2024 11:20:05,31.180226,-25.572569
01/01/2000 17:11:25.30,30/06/2024 11:25:16,31.180065,-25.572612
01/01/2000 17:16:36.31,30/06/2024 11:30:13,31.180108,-25.572599
01/01/2000 17:21:33.37,30/06/2024 11:35:05,31.180163,-25.572663
01/01/2000 17:26:25.79,30/06/2024 11:40:23,31.180086,-25.572607
01/01/2000 17:31:43.28,30/06/2024 11:45:15,31.180255,-25.572578
01/01/2000 17:36:35.65,30/06/2024 11:50:19,31.180185,-25.572593
01/01/2000 17:41:39.31,30/06/2024 11:55:20,31.180139,-25.572564
01/01/2000 17:46:40.31,30/06/2024 12:00:31,31.180165,-25.572596
01/01/2000 17:51:51.39,30/06/2024 12:05:11,31.180296,-25.572634
01/01/2000 17:56:31.33,30/06/2024 12:10:20,31.180223,-25.572596
01/01/2000 18:01:40.33,30/06/2024 12:15:19,31.180287,-25.572626
01/01/2000 18:06:39.35,30/06/2024 12:20:26,31.180145,-25.572613
01/01/2000 18:11:46.87,30/06/2024 12:25:15,31.180116,-25.572547
01/01/2000 18:16:35.37,30/06/2024 12:30:41,31.180107,-25.572547
01/01/2000 18:22:01.71,30/06/2024 12:35:40,31.180149,-25.572573
01/01/2000 18:27:00.35,30/06/2024 12:40:33,31.180129,-25.572569
01/01/2000 18:31:53.43,30/06/2024 12:45:12,31.180131,-25.572566
01/01/2000 18:36:32.38,30/06/2024 12:50:12,31.180075,-25.572591
01/01/2000 18:41:32.39,30/06/2024 12:55:13,31.18006,-25.572583
01/01/2000 18:46:33.39,30/06/2024 13:00:31,31.180061,-25.572557
01/01/2000 18:51:51.42,30/06/2024 13:05:39,31.180122,-25.572579
01/01/2000 18:56:59.41,30/06/2024 13:10:17,31.180052,-25.5726
01/01/2000 19:01:37.48,30/06/2024 13:15:09,31.179916,-25.572624
01/01/2000 19:06:30.06,30/06/2024 13:20:16,31.180165,-25.572594
01/01/2000 19:11:36.40,30/06/2024 13:25:13,31.180007,-25.572623
01/01/2000 19:16:33.42,30/06/2024 13:30:12,31.180319,-25.572552
01/01/2000 19:21:32.44,30/06/2024 13:35:14,31.180158,-25.572559
01/01/2000 19:26:34.49,30/06/2024 13:40:13,31.180103,-25.57258
01/01/2000 19:31:33.46,30/06/2024 13:45:30,31.180035,-25.572603
01/01/2000 19:36:50.46,30/06/2024 13:50:19,31.180117,-25.57266
01/01/2000 19:41:39.42,30/06/2024 13:55:22,31.180207,-25.572648
01/01/2000 19:46:42.45,30/06/2024 14:00:06,31.180253,-25.572789
01/01/2000 19:51:27.42,30/06/2024 14:05:23,31.179951,-25.572578
01/01/2000 19:56:43.95,30/06/2024 14:10:11,31.180196,-25.57262
01/01/2000 20:01:31.47,30/06/2024 14:15:24,31.180028,-25.572606
01/01/2000 20:06:44.48,30/06/2024 14:20:12,31.180063,-25.572701
01/01/2000 20:11:32.50,30/06/2024 14:25:12,31.180215,-25.572698
01/01/2000 20:16:32.50,30/06/2024 14:30:31,31.180063,-25.572726
01/01/2000 20:21:51.54,30/06/2024 14:35:31,31.180059,-25.57257
01/01/2000 20:26:51.52,30/06/2024 14:40:27,31.180114,-25.572575
01/01/2000 20:31:47.49,30/06/2024 14:45:30,31.180077,-25.572607
01/01/2000 20:36:50.50,30/06/2024 14:50:21,31.180141,-25.572655
01/01/2000 20:41:41.50,30/06/2024 14:55:40,31.180165,-25.57265
01/01/2000 20:47:00.52,30/06/2024 15:00:12,31.180215,-25.572655
01/01/2000 20:51:33.01,30/06/2024 15:05:14,31.180156,-25.572633
01/01/2000 20:56:34.61,30/06/2024 15:10:12,31.180094,-25.572624
01/01/2000 21:01:32.56,30/06/2024 15:15:26,31.180115,-25.572605
01/01/2000 21:06:46.56,30/06/2024 15:20:21,31.179819,-25.572544
01/01/2000 21:11:41.58,30/06/2024 15:25:15,31.180233,-25.572674
01/01/2000 21:16:35.59,30/06/2024 15:30:14,31.18014,-25.572653
01/01/2000 21:21:34.53,30/06/2024 15:35:16,31.179976,-25.572594
01/01/2000 21:26:36.58,30/06/2024 15:40:12,31.179951,-25.572637
01/01/2000 21:31:32.57,30/06/2024 15:45:14,31.179944,-25.572637
01/01/2000 21:36:35.06,30/06/2024 15:50:14,31.179978,-25.572691
01/01/2000 21:41:34.60,30/06/2024 15:55:12,31.179761,-25.572618
01/01/2000 21:46:32.61,30/06/2024 16:00:15,31.179742,-25.572608
01/01/2000 21:51:35.78,30/06/2024 16:05:31,31.180069,-25.572612
01/01/2000 21:56:51.62,30/06/2024 16:10:13,31.180334,-25.572578
01/01/2000 22:01:33.63,30/06/2024 16:15:37,31.18015,-25.572596
01/01/2000 22:06:57.65,30/06/2024 16:20:39,31.180093,-25.572575
01/01/2000 22:12:00.14,30/06/2024 16:25:13,31.180053,-25.572612
01/01/2000 22:16:33.59,30/06/2024 16:30:49,31.180063,-25.572616
01/01/2000 22:22:09.99,30/06/2024 16:35:10,31.179924,-25.572659
01/01/2000 22:26:30.64,30/06/2024 16:40:08,31.180092,-25.572598
01/01/2000 22:31:28.69,30/06/2024 16:45:08,31.180031,-25.572595
01/01/2000 22:36:29.67,30/06/2024 16:50:14,31.180142,-25.572578
01/01/2000 22:41:34.66,30/06/2024 16:55:08,31.180094,-25.572582
01/01/2000 22:46:29.64,30/06/2024 17:00:44,31.179968,-25.572552
01/01/2000 22:52:04.68,30/06/2024 17:05:35,31.180049,-25.572586
01/01/2000 22:56:56.18,30/06/2024 17:10:09,31.180002,-25.572647
01/01/2000 23:01:29.70,30/06/2024 17:15:10,31.180157,-25.572607
01/01/2000 23:06:30.73,30/06/2024 17:20:10,31.180261,-25.572552
01/01/2000 23:11:30.70,30/06/2024 17:25:10,31.180494,-25.572653
01/01/2000 23:16:30.70,30/06/2024 17:30:06,31.180801,-25.572594
01/01/2000 23:21:26.74,30/06/2024 17:35:09,31.180217,-25.572538
01/01/2000 23:26:29.73,30/06/2024 17:40:10,31.179907,-25.572546
01/01/2000 23:31:30.72,30/06/2024 17:45:14,31.179786,-25.5726
01/01/2000 23:36:34.79,30/06/2024 17:50:10,31.180048,-25.572588
01/01/2000 23:41:30.74,30/06/2024 17:55:15,31.180167,-25.572609
01/01/2000 23:46:36.14,30/06/2024 18:00:07,31.180385,-25.572595
